dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,75.879480,0.000000,75.887180,11.059914,-74.002051,239.584984,0.000000
0.010000,75.986499,0.000000,75.994199,10.343852,-71.606201,239.584984,0.000000
0.010000,76.086477,0.000000,76.094177,9.651748,-69.210351,239.584984,0.000000
0.010000,76.179654,0.000000,76.187354,8.983603,-66.814501,239.584984,0.000000
0.010000,76.266269,0.000000,76.273969,8.339416,-64.418652,239.584984,0.000000
0.010000,76.346562,0.000000,76.354262,7.719188,-62.022802,239.584984,0.000000
0.010000,76.420772,0.000000,76.428472,7.122919,-59.626952,239.584984,0.000000
0.010000,76.489140,0.000000,76.496840,6.550608,-57.231102,239.584984,0.000000
0.010000,76.551904,0.000000,76.559604,6.002255,-54.835252,239.584984,0.000000
0.010000,76.609305,0.000000,76.617005,5.477861,-52.439402,239.584984,0.000000
0.010000,76.661581,0.000000,76.669281,4.977426,-50.043553,239.584984,0.000000
0.010000,76.708973,0.000000,76.716673,4.500949,-47.647703,239.584984,0.000000
0.010000,76.751720,0.000000,76.759420,4.048430,-45.251853,239.584984,0.000000
0.010000,76.790062,0.000000,76.797762,3.619870,-42.856003,239.584984,0.000000
0.010000,76.824237,0.000000,76.831937,3.215269,-40.460153,239.584984,0.000000
0.010000,76.854487,0.000000,76.862187,2.834626,-38.064303,239.584984,0.000000
0.010000,76.881050,0.000000,76.888750,2.477941,-35.668453,239.584984,0.000000
0.010000,76.904165,0.000000,76.911865,2.145215,-33.272604,239.584984,0.000000
0.010000,76.924074,0.000000,76.931774,1.836448,-30.876754,239.584984,0.000000
0.010000,76.941014,0.000000,76.948714,1.551639,-28.480904,239.584984,0.000000
0.010000,76.955226,0.000000,76.962926,1.290788,-26.085054,239.584984,0.000000
0.010000,76.966950,0.000000,76.974650,1.053896,-23.689204,239.584984,0.000000
0.010000,76.976424,0.000000,76.984124,0.840962,-21.293354,239.584984,0.000000
0.010000,76.983889,0.000000,76.991589,0.651987,-18.897505,239.584984,0.000000
0.010000,76.989584,0.000000,76.997284,0.486971,-16.501655,239.584984,0.000000
0.010000,76.993748,0.000000,77.001448,0.345913,-14.105805,239.584984,0.000000
0.010000,76.996622,0.000000,77.004322,0.228813,-11.709955,239.584984,0.000000
0.010000,76.998444,0.000000,77.006144,0.135672,-9.314105,239.584984,0.000000
0.010000,76.999455,0.000000,77.007155,0.066490,-6.918255,239.584984,0.000000
0.010000,76.999894,0.000000,77.007594,0.021266,-4.522406,239.584984,0.000000
0.010000,77.000000,0.000000,77.007700,0.000000,-2.126556,239.584984,0.000000
0.010000,77.000000,0.000000,77.007700,0.000000,0.000000,212.655575,0.000000
